id,name,citizenship,byear,bplace
18,Cochran,US,1945,"Kansas City,MO US"
19,Williams,US,1954,"Denver,CO US"
20,Howell,US,1951,"Indianapolis,IN US"
21,Schafer,US,1979,"Ostrander,MN US"
22,Clark,US,1961,"Ocean City,MD US"
23,Pham,US,1972,"Rio Vista,TX US"
24,Strickland,US,1941,"Embden Lake,ME US"
25,Chatman,US,1942,"Wylie,TX US"
26,James,US,1955,"Ocala,FL US"
27,Montoya,US,1964,"New Haven,CT US"
28,Akers,US,1972,"Fairview Heights,IL US"
29,Green,US,1970,"Birmingham,AL US"
30,Cole,US,1967,"Kokomo,IN US"
31,Martin,US,1959,"Dallas,TX US"
32,Rodriguez,US,1955,"Kaysville,UT US"
33,Hennen,US,1947,"Little Rock,AR US"
34,Blank,US,1972,"Sunrise,FL US"
35,Garcia,US,1967,"Knoxville,TN US"
36,Nicholas,US,1981,"Whitesboro,NY US"
37,Collins,US,1942,"Farmington,UT US"
38,Jones,US,1964,"Omaha,NE US"
39,Watkins,US,1948,"Port Jefferson Stati,NY US"
40,Griggs,US,1963,"Jacksonville,FL US"
41,Diaz,US,1979,"Providence,RI US"
42,Manuel,US,1961,"Bremerton,WA US"
43,Estes,US,1976,"Knoxville,TN US"
44,Payne,US,1971,"Conway Springs,KS US"
45,Harrison,US,1979,"Orchards,WA US"
46,Deem,US,1975,"Buffalo,NY US"
47,Lockett,US,1955,"Fremont,CA US"
48,Williams,US,1951,"Waubay,SD US"
49,Reed,US,1962,"Milan,NH US"
50,Evans,US,1970,"Houston,TX US"
51,Moody,US,1960,"Richmond,VA US"
52,Vasquez,US,1944,"Sugar Land,TX US"
53,Elliott,US,1959,"Fort Myers,FL US"
54,Akins,US,1980,"Ossineke,MI US"
55,Devine,US,1965,"Raleigh,NC US"
56,Bullock,US,1966,"Saint Cloud,MN US"
57,Horner,US,1976,"Pittsburgh,PA US"
58,Barrera,US,1985,"Beaufort,SC US"
59,Peterson,US,1944,"Pittsburgh,PA US"
60,Robinson,US,1971,"Houma,LA US"
61,Reynolds,US,1977,"Teterboro,NJ US"
62,Reed,US,1958,"Shreveport,LA US"
63,Lopes,US,1977,"Nashville,TN US"
64,Jensen,US,1984,"Paducah,KY US"
65,Aston,US,1946,"Davenport,IL US"
66,Rodriquez,US,1953,"Oakland,CA US"
67,Beall,US,1976,"Sherman Oaks,CA US"
68,Lim,US,1978,"Saint Louis,MO US"
69,Robeson,US,1950,"Bellevue,OH US"
70,Engelmann,US,1964,"Henderson,NV US"
71,Clark,US,1980,"Miami,FL US"
72,Walton,US,1983,"Tooele,UT US"
73,Bostick,US,1941,"Columbus,MT US"
74,Holley,US,1945,"Irving,TX US"
75,Schwartz,US,1955,"Koyukuk,AK US"
76,Tolson,US,1968,"Gainesville,FL US"
77,Roberts,US,1966,"Baxley,GA US"
78,Thurman,US,1954,"Manasquan,NJ US"
79,Freeman,US,1945,"Beltsville,VA US"
80,Ross,US,1971,"Jackson,MS US"
81,Calkins,US,1973,"Las Vegas,NV US"
82,Andrews,US,1955,"Avon Park,FL US"
83,Maguire,US,1972,"Pompano Beach,FL US"
84,Sanchez,US,1953,"Newbury Park,CA US"
85,King,US,1954,"Brownsville,TX US"
86,Hunt,US,1964,"Northbrook,IL US"
87,Bozarth,US,1957,"Goshen,IN US"
88,Gutierrez,US,1963,"Sacramento,CA US"
89,Hillman,US,1969,"Newark,PA US"
90,Boyer,US,1950,"Dublin,CA US"
91,Peterson,US,1948,"White River Junction,VT US"
92,Smith,US,1948,"Memphis,TN US"
93,Haywood,US,1954,"Stockton,CA US"
94,Richardson,US,1985,"Baltimore,MD US"
95,Grady,US,1944,"Culver City,CA US"
96,Taylor,US,1967,"Huntington,NY US"
97,Weaver,US,1949,"Houston,TX US"
98,Stanton,US,1965,"New York,NY US"
99,Buckmaster,US,1972,"Miramar,FL US"
100,Kneeland,US,1942,"Savage,VA US"
101,Lindquist,US,1972,"Wichita,KS US"
102,Lopez,US,1964,"Gainesville,FL US"
103,Edison,US,1947,"Knoxville,TN US"
104,Molina,US,1964,"Atlanta,GA US"
105,Lauritzen,US,1976,"Westbury,NY US"
106,Pedigo,US,1964,"South Canaan,PA US"
107,Manley,US,1980,"Marrero,LA US"
108,Glick,US,1964,"Brownsville,TX US"
109,Wallace,US,1940,"Charlotte,NC US"
110,Roper,US,1952,"Los Angeles,CA US"
111,Corum,US,1983,"Highland,CA US"
112,Flores,US,1974,"Atlanta,GA US"
113,Radford,US,1944,"Columbus,GA US"
114,Strother,US,1957,"Colfax,LA US"
115,Thompson,US,1984,"Dayton,OH US"
116,Houck,US,1959,"Hammond,LA US"
117,Thornhill,US,1985,"Overland,MO US"
118,Williams,US,1958,"Hoffman Estates,IL US"
119,Tiedeman,US,1952,"Houston,TX US"
120,Adams,US,1941,"Laurinburg,NC US"
121,West,US,1972,"Orlando,FL US"
122,James,US,1960,"Phoenix,AZ US"
123,Ayala,US,1970,"Englewood,CO US"
124,Lusk,US,1955,"Camden,NJ US"
125,Fields,US,1977,"Toledo,OH US"
126,Metcalf,US,1964,"Greenwood,MS US"
127,Brown,US,1981,"Niagara Falls,NY US"
128,Malloy,US,1940,"Biloxi,MS US"
129,Monroe,US,1966,"Seattle,WA US"
130,Knuckles,US,1967,"Harrisburg,PA US"
131,Dillard,US,1973,"Boston,MA US"
132,Alaniz,US,1974,"Moanalua,HI US"
133,Powell,US,1956,"Canton,CT US"
134,Mckinley,US,1940,"Austin,TX US"
135,Walker,US,1958,"Roanoke,VA US"
136,Spaulding,US,1965,"Saint Louis,MO US"
137,Murray,US,1950,"Palmdale,CA US"
138,Miller,US,1969,"Baltimore,MD US"
139,Hoose,US,1975,"New York,NY US"
140,Mcduff,US,1982,"Providence,RI US"
141,Corey,US,1974,"San Antonio,TX US"
142,Wunderlich,US,1981,"St Joseph,TN US"
143,Russell,US,1942,"Palo Alto,CA US"
144,Jack,US,1963,"Genoa,OH US"
145,Jones,US,1974,"Reno,NV US"
146,Payne,US,1941,"Monticello,GA US"
147,Nelson,US,1963,"Nashville,TN US"
148,King,US,1954,"Pacific City,OR US"
149,Egan,US,1976,"Livonia,MI US"
150,Doody,US,1947,"Los Angeles,CA US"
151,Nugent,US,1950,"Troy,AL US"
152,Lemons,US,1978,"Jackson,MS US"
153,Kern,US,1984,"Oakland,CA US"
154,Bradley,US,1963,"Columbus,MS US"
155,Asuncion,US,1954,"Richmond,VA US"
156,Fletcher,US,1964,"Oakmont,PA US"
157,Sullivan,US,1941,"Pittsburgh,PA US"
158,Howard,US,1943,"Boise,ID US"
159,Preslar,US,1951,"Wallingford,CT US"
160,Burns,US,1955,"Irvine,CA US"
161,Wyatt,US,1978,"Linthicum Heights,MD US"
162,Palacios,US,1965,"New Berlin,WI US"
163,Schmucker,US,1945,"Dayton,OH US"
164,Sandoval,US,1946,"Duluth,GA US"
165,Gutierrez,US,1952,"Kirkwood,IL US"
166,Barrett,US,1965,"Omaha,NE US"
167,Vanbuskirk,US,1982,"Toledo,OH US"
168,Weatherly,US,1945,"Mount Holly,NC US"
169,Hendrick,US,1981,"Shreveport,LA US"
170,Sanchez,US,1958,"Austin,TX US"
171,Hawkins,US,1959,"Chicago,IL US"
172,Brown,US,1946,"Euless,TX US"
